species,cat_island,variation,polymorphism,WSC_ISO3,points_gbif,n_points,area_polygon,area_countries_wsc,lat_range,lat_range_wsc,cat_island_points,wsc,bin_island,centroid_lon,centroid_lat,eco_reg_points,eco_reg_polygon,temp_zones_points,temp_zones_polygon,bole_female,bole_male,source
Asagena_phalerata,island_continent,no,no,"Europe, Russia (Europe to Far East), Kazakhstan, Iran, Central Asia, China, Korea",3837,1565,6980953.604,41971549.15,28.427016,56.85398309,island_continent,"europe,russia,far east),kazakhstan,iran,central asia,china,korea",1,52.67402311,52.6384255,27,39,10,8,5.7,5,https://araneae.nmbe.ch/data/1016/Asagena_phalerata
Audifia_sp,NA,NA,NA,NA,0,NA,NA,,NA,,NA,NA,NA,NA,-25.9702947,,,,,,,
Augusta_glyphica,island,no,no,Madagascar,10,6,30110.65846,592983.4955,7.596142,0,island,madagascar,1,-17.91830111,,2,4,2,7,9.8,3.5,"Emerit, M. (1974). Arachnides araignées Araneidae Gasteracanthinae. Faune Madagascar 38: 1-215"
Austracantha_minax,island_continent,yes,yes,"Australia, Tasmania",3445,1333,7457523.286,8512450.039,29.595369,59.16989275,island_continent,"australia,tasmania",1,-25.97538775,-25.9702947,28,37,11,17,8.5,3,"Mascord, R. E. (1966). The mating behaviour of Gasteracantha minax Thorell, 1859 (Araneida: Argiopidae). Journal of the Entomological Society of Australia, New South Wales 3: 44-47."
Backobourkia_heroine,island_continent,no,no,"Australia, New Caledonia,New Zealand",271,9,670716.0229,7691990.893,15.257818,39.01717104,island_continent,"australia,new caledonia,new zealand",1,-31.85046399,,7,16,5,7,23.75,14.5,"Framenau, V. W., Dupérré, N., Blackledge, T. A. & Vink, C. (2010). Systematics of the new Australasian orb-weaving spider genus Backobourkia (Araneae: Araneidae: Araneinae). Arthropod Systematics & Phylogeny 68: 79-111"
Bijoaraneus_mitificus,island_continent,no,no,"Pakistan, India, Bangladesh, China, Taiwan, Thailand, Cambodia, Singapore, Philippines, New Guinea",667,339,8562045.264,15026698.13,30.914529,43.23055495,island_continent,"pakistan,india,bangladesh,china,taiwan,thailand,cambodia,singapore,philippines,new guinea",1,95.53519684,24.2326561,31,99,7,25,5.94,4.19,"Tanikawa, A., Yamasaki, T. & Petcharad, B. (2021). Two new genera of Araneidae (Arachnida: Araneae). Acta Arachnologica 70(2): 87-101"
Bijoaraneus_praesignis,continent,no,no,Australia,115,79,343819.4566,7691990.893,15.41268,39.01717104,continent,australia,0,150.2305734,-25.21242963,4,5,3,9,7,NA,"Koch, L. (1872a). Die Arachniden Australiens, nach der Natur beschrieben und abgebildet [Erster Theil, Lieferung 3-7]. Bauer & Raspe, Nürnberg, 105-368, pl. 8-28"
Caerostris_sp,NA,NA,NA,NA,0,NA,NA,,NA,,NA,NA,NA,NA,NA,,,,,,,
Callobius,NA,NA,NA,NA,0,NA,NA,,NA,,NA,NA,NA,NA,NA,,,,,,,
Canalidion_montanum,continent,no,no,North America,766,59,33852.85185,21357404.83,5.365316,52.05850925,continent,north america,0,-147.9574498,62.76103134,4,5,2,4,4.4,NA,https://araneae.nmbe.ch/data/2206/Canalidion_montanum
Carepalxis_sp,NA,NA,NA,NA,0,NA,NA,,NA,,NA,NA,NA,NA,NA,,,,,,,
Celaenia_calotoides,continent,no,no,Australia,69,32,3443312.996,7691990.893,18.623747,39.01717104,continent,australia,0,139.8951927,-29.47998509,7,26,7,11,7.5,NA,"Rainbow, W. J. (1908). Studies in Australian Araneidae. No. 5. Records of the Australian Museum 7: 44-50"
Cercidia_prominens,island_continent,no,no,"North America, Europe, Caucasus, Russia, Europe, Kazakhstan",2200,1470,9794739.147,50215003.65,32.623944,55.78063288,island_continent,"north america,europe,caucasus,russia,kazakhstan",1,5.464983879,61.76828127,21,41,9,19,4.6,4.1,"Levi, H. W. (1975b). The American orb-weaver genera Larinia, Cercidia and Mangora north of Mexico (Araneae, Araneidae). Bulletin of the Museum of Comparative Zoology 147: 101-135"
Cerocida_strigosa,continent,no,no,Venezuela,11,NA,NA,,NA,,NA,NA,0,NA,NA,,,,,,,
Chikunia_albipes,island_continent,yes,yes,Russia (Far East) Japan,28,NA,NA,,NA,,NA,NA,1,NA,NA,,,,,,,
Chikunia_bilde,island,yes,yes,"Malaysia, Singapore, Indonesia",0,3,7512.91533,2222200.408,-1.093661,12.41868176,island,"Malaysia, Singapore, Indonesia",1,109.8423966,-7.407123603,2,4,2,6,,,
Chikunia_nigra,continent,yes,yes,India,51,6,456270.3212,3152910.005,12.164796,12.47897777,continent,india,0,80.62827098,17.39184951,4,15,2,6,3.54,2.32,"Smith, C., Cotter, A., Grinsted, L., Bowolaksono, A., Watiniasih, N. L. & Agnarsson, I. (2019). In a relationship: sister species in mixed colonies, with a description of new Chikunia species (Theridiidae). Zoological Journal of the Linnean Society 186(2): 337-252"
Chikunia_sp,NA,NA,NA,NA,0,NA,NA,,NA,,NA,NA,NA,NA,NA,,,,,,,
Chorizopes_nipponicus,island_continent,no,no,"China, Korea, Japan",73,NA,NA,,NA,,NA,NA,NA,NA,NA,,,,,,,
Chrosiothes_cf,NA,NA,NA,NA,0,NA,NA,,NA,,NA,NA,NA,NA,NA,,,,,,,
Clitaetra_irenae,continent,no,no,"Malawi, South Africa",5,2,0,1339244.282,0.003051,-15.79005497,continent,"malawi,south africa",0,NA,NA,1,1,1,1,7.1,3.1,"Kuntner, M. (2006). Phylogenetic systematics of the Gondwanan nephilid spider lineage Clitaetrinae (Araneae, Nephilidae). Zoologica Scripta 35(1): 19-62."
Colaranea_verutum,island,yes,yes,New Zealand,0,84,146782.9492,267758.5077,-7.401704,0,island,New Zealand,1,171.9027055,-43.06258097,5,8,4,7,5.2,4.5,"Court, D. J. & Forster, R. R. (1988). The spiders of New Zealand: Part VI. Family Araneidae. Otago Museum Bulletin 6: 68-124."
Colaranea_viriditas,island,no,no,New Zealand,256,146,182847.4143,267758.5077,11.910355,0,island,new zealand,1,172.9270613,-41.6289087,8,9,2,7,4.6,5.2,"Court, D. J. & Forster, R. R. (1988). The spiders of New Zealand: Part VI. Family Araneidae. Otago Museum Bulletin 6: 68-124"
Coleosoma_acutiventer,continent,no,no,"north america, central america, south america",91,4,568427.2299,39715123.3,36.52904,109.6740354,continent,"north america,central america,south america",0,-77.16015828,18.11805415,4,35,2,7,1.7,2.1,"Bryant, E. B. (1944). Three species of Coleosoma from Florida (Araneae; Theridiidae). Psyche, Cambridge 51(1-2): 51-58."
Coleosoma_octomaculatum,island,no,no,"Japan,Taiwan",146,NA,NA,,NA,,NA,NA,1,NA,NA,,,,,,,
Crustulina_sticta,island_continent,NA,NA,"North America, Caucasus, Russia, Kazakhstan,Iran,Central,Asia,China,Korea,Japan",687,10,9087388.383,38500368.73,24.636621,55.78063288,continent,"north america,caucasus,russia,kazakhstan,iran,central,asia,china,korea,japan",1,NA,NA,7,49,4,9,3.5,2.5,https://araneae.nmbe.ch/data/1329/Crustulina_sticta
Cryptachaea_blattea,continent,yes,yes,Africa,1251,NA,NA,,NA,,NA,NA,0,NA,NA,,,,,,,
Cryptachaea_riparia,island_continent,no,no,"Europe,Russia, China, Korea, Japan",572,NA,NA,,NA,,NA,NA,1,NA,NA,,,,,,,
Cryptaranea_atrihastula,island,yes,yes,New Zealand,0,34,86861.75312,267758.5077,-9.893463,0,island,New Zealand,1,172.4474953,-43.0088164,5,6,1,7,,,
