species,cat_island,polymorphism,WSC_ISO3,points_gbif,n_points,area_polygon,area_countries_wsc,lat_range,lat_range_wsc,cat_island_points,area_country_pointsCountry,wsc
Lasaeola_prona,continent,no,"North America, Russia, Kazakhstan, Iran, Japan",204,1,0,43023770.79,0,55.78063288,continent,41619.79851,"north america,russia,kazakhstan,iran,japan"
Lasaeola_tristis,island_continent,no,"Europe, Kazakhstan, Iran, Central Asia, Russia (South Siberia)",812,367,4228215.092,32377852.3,25.5554,82.10629988,island_continent,2104214.522,"europe,kazakhstan,iran,central asia,russia"
Latrodectus_geometricus,island_continent,no,Africa,6710,324,20619390.19,29892056.69,64.57137,63.69610402,island_continent,2384787.522,africa
Latrodectus_mactans,continent,no,North America,4289,1565,6450790.001,21357404.83,28.70526,52.05850925,island_continent,18974013.05,north america
Latrodectus_renivulvatus,continent,yes,"Africa, Iraq",59,14,1534523.746,30329423.85,14.110151,63.69610402,continent,950113.3438,"africa,iraq"
Leucauge_venusta,NA,NA,NA,8172,,,,,,,,
Leviana_dimidiatus,NA,NA,NA,0,,,,,,,,
Leviana_mulieraria,NA,no,Australia,0,,,,,,,,
Macracantha_arcuata,island_continent,yes,"India, Sri Lanka, China, Myanmar, Thailand, Cambodia, Indonesia",352,118,2552246.477,15844682.8,34.397813,45.42229679,island_continent,1194447.927,"india,sri lanka,china,myanmar,thailand,cambodia,indonesia"
Madacantha_nossibeana,NA,no,Madagascar,2,,,,,,,,
Mangora_gibberosa,island_continent,no,North America,1137,452,5133578.754,21357404.83,23.56574,52.05850925,island_continent,7015228.062,north america
Mastophora_apalachicola,NA,no,USA,3,,,,,,,,
Mastophora_archeri,NA,no,USA,4,,,,,,,,
Mastophora_bisaccata,continent,no,"USA, Mexico",32,15,1110079.12,11420054.47,12.900377,41.07063035,continent,911243.1651,"usa,mexico"
Mastophora_cornigera,continent,no,"USA, Central America",94,33,2490989.75,11937998.34,10.795242,41.07063035,continent,1830219.209,"usa,central america"
Mastophora_hutchinsoni,island_continent,no,"USA, Canada",38,18,602658.0007,19400077.9,7.430449,52.05850925,island_continent,2399808.362,"usa,canada"
Mastophora_phrynosoma,continent,no,USA,67,44,733435.1154,9462727.54,8.035792,41.07063035,continent,1125968.545,usa
Mastophora_stowei,continent,no,USA,10,1,0,9462727.54,0,41.07063035,continent,117298.2853,usa
Mecynogea_lemniscata,island_continent,no,"USA, Central America, South America",1343,823,19434927.19,29777772.94,80.131163,98.68615651,island_continent,4105994.468,"usa,central america,south america"
Meotipa_sp,NA,NA,NA,0,,,,,,,,
Meta_ovalis,NA,NA,NA,253,,,,,,,,
Metazygia_wittfeldae,continent,no,"North America, Central America",170,50,1092686.055,21875348.71,20.387093,52.05850925,continent,1321092.594,"north america,central america"
Metellina_segmentata,NA,NA,NA,9107,,,,,,,,
Metepeira_21,NA,NA,NA,0,,,,,,,,
